s_Sample,External ID,Date of Collection,Location,Country,Latitude,Longitude,Species,Collection Context,Collection Method,Collection Time,Specimen Sex,Specimen Type,Extraction Method,Sample Type,Sample Set,Source
VBS00114,1175-S01-0114,2010-02-26,Thmar Da,Cambodia,12.155,102.735,Anopheles_rampae,outdoor,CDC-light trap,,Female,Wild caught adult,,Genomic DNA,kh,run2
VBS00115,1175-S01-0115,2010-02-26,Thmar Da,Cambodia,12.155,102.735,Anopheles_rampae,outdoor,CDC-light trap,,Female,Wild caught adult,,Genomic DNA,kh,run2
VBS00122,1175-S01-0122,2010-02-25,Thmar Da,Cambodia,12.155,102.735,Anopheles_balabacensis,outdoor,human landing catch,,Female,Wild caught adult,,Genomic DNA,kh,run2
VBS00125,1175-S01-0125,2013-08-06,Chean Mok,Cambodia,13.7698056,104.920388,Anopheles_jamesii,outdoor,cow-baited tent,,Female,Wild caught adult,,WGA,kh,run2
VBS00127,1175-S01-0127,2009-06-28,Thmar Da,Cambodia,12.155,102.735,Anopheles_jamesii,outdoor,human landing catch,,Female,Wild caught adult,,Genomic DNA,kh,run2
VBS00128,1175-S01-0128,2009-06-28,Thmar Da,Cambodia,12.155,102.735,Anopheles_jamesii,outdoor,human landing catch,,Female,Wild caught adult,,Genomic DNA,kh,run2
VBS00144,1175-S01-0144,2010-02-26,Thmar Da,Cambodia,12.155,102.735,Anopheles_sundaicus,outdoor,human landing catch,,Female,Wild caught adult,,Genomic DNA,kh,run2
VBS00145,1175-S01-0145,2010-03-18,Thmar Da,Cambodia,12.155,102.735,Anopheles_sundaicus,outdoor,human landing catch,,Female,Wild caught adult,,Genomic DNA,kh,run2
VBS00146,1175-S01-0146,2010-03-20,Thmar Da,Cambodia,12.155,102.735,Anopheles_sundaicus,outdoor,human landing catch,,Female,Wild caught adult,,Genomic DNA,kh,run2
VBS00147,1175-S01-0147,2010-01-18,Thmar Da,Cambodia,12.155,102.735,Anopheles_sundaicus,outdoor,human landing catch,,Female,Wild caught adult,,Genomic DNA,kh,run2
VBS00148,1175-S01-0148,2010-03-21,Thmar Da,Cambodia,12.155,102.735,Anopheles_sundaicus,outdoor,human landing catch,,Female,Wild caught adult,,Genomic DNA,kh,run2
VBS00149,1175-S01-0149,2013-08-17,Angkrong,Cambodia,12.3129167,103.570388,Anopheles_tessellatus,outdoor,cow-baited tent,21,Female,Wild caught adult,,WGA,kh,run2
VBS00150,1175-S01-0150,2013-08-17,Angkrong,Cambodia,12.3129167,103.570388,Anopheles_tessellatus,outdoor,cow-baited tent,4,Female,Wild caught adult,,WGA,kh,run2
VBS00154,1175-S01-0154,2014-03-15,Veal ,Cambodia,12.275,103.715,Anopheles_vagus,outdoor,cow-baited tent,23,Female,Wild caught adult,,Genomic DNA,kh,run2
VBS00156,1175-S01-0156,2014-03-14,Veal ,Cambodia,12.275,103.715,Anopheles_vagus,outdoor,cow-baited tent,19,Female,Wild caught adult,,Genomic DNA,kh,run2
VBS00157,1175-S01-0157,2014-06-13,Angkrong,Cambodia,12.3129167,103.570388,Anopheles_vagus,outdoor,cow-baited tent,21,Female,Wild caught adult,,Genomic DNA,kh,run2
VBS00158,1175-S01-0158,2014-05-13,Angkrong,Cambodia,12.3129167,103.570388,Anopheles_vagus,outdoor,cow-baited tent,21,Female,Wild caught adult,,Genomic DNA,kh,run2
Acru-RS32,RS32,2019-07-16,Maquine,Brazil,-29.5895556,-50.2626389,Anopheles_cruzii,lab reared brood,,,Female,F1 from wild caught adult,,Genomic DNA,sa,run9
Abel-SP24,SP24,2019-07-20,Cananeia,Brazil,-25.0166667,-47.95,Anopheles_bellator,lab reared brood,,,Female,F1 from wild caught adult,,Genomic DNA,sa,run9
Aory-SP141,SP141,2019-07-16,Pereira Barreto,Brazil,-20.55716,-51.01518,Anopheles_oryzalimnetes,lab reared brood,,,Female,F1 from wild caught adult,,Genomic DNA,sa,run9
