s_Sample,External ID,Date of Collection,Location,Country,Latitude,Longitude,Collection Context,Collection Method,Collection Time,Specimen Sex,Specimen Type,Extraction Method,Sample Type,Species
VBS00135,1175-S01-0135,2013-08-05,Chean Mok,Cambodia,13.7698056,104.920388,outdoor,cow-baited tent,23,Female,Wild caught adult,,Genomic DNA,Anopheles_splendidus
VBS00136,1175-S01-0136,2013-08-05,Chean Mok,Cambodia,13.7698056,104.920388,outdoor,cow-baited tent,23,Female,Wild caught adult,,Genomic DNA,Anopheles_splendidus
VBS00137,1175-S01-0137,2013-08-02,Chean Mok,Cambodia,13.7698056,104.920388,outdoor,cow-baited tent,21,Female,Wild caught adult,,Genomic DNA,Anopheles_splendidus
VBS00138,1175-S01-0138,2013-08-02,Chean Mok,Cambodia,13.7698056,104.920388,outdoor,cow-baited tent,21,Female,Wild caught adult,,Genomic DNA,Anopheles_splendidus
VBS00139,1175-S01-0139,2010-10-26,Thmar Da,Cambodia,12.155,102.735,outdoor,human landing catch,,Female,Wild caught adult,,Genomic DNA,Anopheles_subpictus
VBS00140,1175-S01-0140,2010-08-09,Thmar Da,Cambodia,12.155,102.735,outdoor,CDC-light trap,,Female,Wild caught adult,,WGA,Anopheles_subpictus
VBS00141,1175-S01-0141,2010-03-19,Thmar Da,Cambodia,12.155,102.735,outdoor,human landing catch,,Female,Wild caught adult,,WGA,Anopheles_subpictus
VBS00142,1175-S01-0142,2010-01-17,Thmar Da,Cambodia,12.155,102.735,outdoor,human landing catch,,Female,Wild caught adult,,WGA,Anopheles_subpictus
VBS00143,1175-S01-0143,2010-10-23,Thmar Da,Cambodia,12.155,102.735,outdoor,human landing catch,,Female,Wild caught adult,,Genomic DNA,Anopheles_subpictus
VBS00144,1175-S01-0144,2010-02-26,Thmar Da,Cambodia,12.155,102.735,outdoor,human landing catch,,Female,Wild caught adult,,Genomic DNA,Anopheles_sundaicus
VBS00145,1175-S01-0145,2010-03-18,Thmar Da,Cambodia,12.155,102.735,outdoor,human landing catch,,Female,Wild caught adult,,Genomic DNA,Anopheles_sundaicus
VBS00146,1175-S01-0146,2010-03-20,Thmar Da,Cambodia,12.155,102.735,outdoor,human landing catch,,Female,Wild caught adult,,Genomic DNA,Anopheles_sundaicus
VBS00147,1175-S01-0147,2010-01-18,Thmar Da,Cambodia,12.155,102.735,outdoor,human landing catch,,Female,Wild caught adult,,Genomic DNA,Anopheles_sundaicus
VBS00148,1175-S01-0148,2010-03-21,Thmar Da,Cambodia,12.155,102.735,outdoor,human landing catch,,Female,Wild caught adult,,Genomic DNA,Anopheles_sundaicus
VBS00149,1175-S01-0149,2013-08-17,Angkrong,Cambodia,12.3129167,103.570388,outdoor,cow-baited tent,21,Female,Wild caught adult,,WGA,Anopheles_tessellatus
VBS00150,1175-S01-0150,2013-08-17,Angkrong,Cambodia,12.3129167,103.570388,outdoor,cow-baited tent,4,Female,Wild caught adult,,WGA,Anopheles_tessellatus
VBS00151,1175-S01-0151,2013-08-16,Angkrong,Cambodia,12.3129167,103.570388,outdoor,cow-baited tent,20,Female,Wild caught adult,,WGA,Anopheles_tessellatus
VBS00152,1175-S01-0152,2013-08-16,Angkrong,Cambodia,12.3129167,103.570388,outdoor,cow-baited tent,20,Female,Wild caught adult,,WGA,Anopheles_tessellatus
VBS00153,1175-S01-0153,2013-08-17,Angkrong,Cambodia,12.3129167,103.570388,outdoor,cow-baited tent,24,Female,Wild caught adult,,WGA,Anopheles_tessellatus
